name,nominal,usl,lsl,measured,precision,check_id,specification_type_id,characteristic_type_id,frequency_type_id,measurement_type_id,gauge_id
DIM 1,8.314,8.319,8.309,8.996757667,3,1,1,17,10,0,3
DIM 2,5.427,5.432,5.422,6.289119909,3,1,1,12,10,0,1
DIM 3,4.862,4.867,4.857,5.250262141,3,1,2,0,5,0,4
DIM 4,7.085,7.09,7.08,7.085,3,1,3,1,8,0,6
DIM 1,8.314,8.319,8.309,1.520173359,3,2,1,17,10,1,3
DIM 2,5.427,5.432,5.422,5.758910274,3,2,1,12,10,1,1
DIM 3,4.862,4.867,4.857,7.530682909,3,2,2,0,5,1,4
DIM 4,7.085,7.09,7.08,4.608116619,3,2,3,1,8,1,6
DIM 1,8.314,8.319,8.309,2.845483969,3,3,1,17,10,0,3
DIM 2,5.427,5.432,5.422,2.906,3,3,1,12,10,0,1
DIM 3,4.862,4.867,4.857,4.001,3,3,2,0,5,0,4
DIM 4,7.085,7.09,7.08,8.149727253,3,3,3,1,8,0,6
DIM 1,8.314,8.319,8.309,8.728,3,4,1,17,10,0,3
DIM 2,5.427,5.432,5.422,10.59,3,4,1,12,10,0,1
DIM 3,4.862,4.867,4.857,5.370672549,3,4,2,0,5,0,4
DIM 4,7.085,7.09,7.08,8.259583997,3,4,3,1,8,0,6
DIM 1,4.533,4.538,4.528,4.616140087,3,5,1,15,10,0,5
DIM 2,3.798,3.803,3.793,3.798,3,5,2,14,5,0,1
DIM 3,4.845,4.85,4.84,4.900507483,3,5,2,15,1,0,5
DIM 4,6.622,6.627,6.617,6.867803951,3,5,3,14,11,0,4
DIM 1,4.533,4.538,4.528,3.279,3,6,1,15,10,0,5
DIM 2,3.798,3.803,3.793,2.715174734,3,6,2,14,5,0,1
DIM 3,4.845,4.85,4.84,3.826,3,6,2,15,1,0,5
DIM 4,6.622,6.627,6.617,0.31,3,6,3,14,11,0,4
DIM 1,4.533,4.538,4.528,2.446,3,7,1,15,10,1,5
DIM 2,3.798,3.803,3.793,9.738,3,7,2,14,5,1,1
DIM 3,4.845,4.85,4.84,0.935,3,7,2,15,1,1,5
DIM 4,6.622,6.627,6.617,,3,7,3,14,11,1,4
DIM 1,9.298,9.303,9.293,,3,8,3,7,10,0,1
DIM 2,8.812,8.817,8.807,9.603996421,3,8,1,20,0,0,4
DIM 3,1.164,1.169,1.159,1.529536585,3,8,1,7,1,0,6
DIM 4,9.146,9.151,9.141,9.146,3,8,2,14,0,0,3
DIM 1,9.298,9.303,9.293,6.957213644,3,9,3,7,10,0,1
DIM 2,8.812,8.817,8.807,3.802,3,9,1,20,0,0,4
DIM 3,1.164,1.169,1.159,1.817348498,3,9,1,7,1,0,6
DIM 4,9.146,9.151,9.141,4.459,3,9,2,14,0,0,3
DIM 1,9.298,9.303,9.293,8.753,3,10,3,7,10,1,1
DIM 2,8.812,8.817,8.807,1.942887653,3,10,1,20,0,1,4
DIM 3,1.164,1.169,1.159,2.984,3,10,1,7,1,1,6
DIM 4,9.146,9.151,9.141,1.843,3,10,2,14,0,1,3
DIM 1,9.298,9.303,9.293,3.226,3,11,3,7,10,0,1
