,id,item_number,drawing,revision,inspection_date,inspector,disposition,supplier,receiver_number,purchase_order,job_order,operator,full_inspect_qty,received_qty,completed_qty
0,0,3004-111,1000551,B,2021-09-02,PB,FAIL,PROHIMAX INDUSTRIES COMPANY LIMITED,52474,TMS6714,,,0,50,
1,1,9004-152,1000655,A,2022-02-24,PB,,G. S. PRECISION PRODUCTS CO. LTD. (JIANGSU SOHO),55496,TMS6854,,,0,2064,
2,2,9004-152,1000655,A,2021-03-17,PB,PASS,G. S. PRECISION PRODUCTS CO. LTD. (JIANGSU SOHO),47137/47138,TMS5868/6095,,,0,1438,
3,3,9004-152,1000655,A,2021-09-08,PB,PASS,G. S. PRECISION PRODUCTS CO. LTD. (JIANGSU SOHO),51631/51632,TMS6458/6620,,,0,2384,
4,4,9004-153,1000656,A,,,,,,,FJW20828,,500,420,
5,5,1844-157,1004546,L,,,,,,,NK3101,,333,665,480
6,6,9004-153,1000656,A,,,,,,,NK4257,,240,240,
7,7,9004-154,1000657,A,2022-03-25,MPD,PASS,G. S. PRECISION PRODUCTS CO. LTD. (JIANGSU SOHO),58384,TMS7040,,,0,594,
8,8,3220-111,1001000,C,2020-12-18,A.S.,PASS,AIN TEC INDUSTRIAL CO. LTD. (ATI GROUP),44595/44776,TMS55710/T773,,,,,
9,9,3220-111,1001000,C,2020-12-23,MJS,PASS,AIN TEC INDUSTRIAL CO. LTD. (ATI GROUP),45190,TMS5710,,,,,
10,10,9039-165,1001183,E,,,,,,,BCB1213,Dan S.,Last,50,50
11,11,9039-165,1001183,E,,,,,,,BCB2360,,Last,50,50
12,12,9039-165,1001183,E,,,,,,,BCB934,AdAm,Last,120,120
13,13,9033-220,1001188,C,2020-12-21,PB,PASS,SAC SHANGHAI CO. LTD. (NINGBO BEST METAL PRODUCTS CO. LTD),44579,TMS5745,,,,,
14,14,9033-220,1001188,C,2021-04-06,MJS,PASS,SAC SHANGHAI CO. LTD. (NINGBO BEST METAL PRODUCTS CO. LTD),47844,TMS6144,,,0,fail,
15,15,9033-221,1001189,C,2022-08-26,SC,PASS,SAC SHANGHAI CO. LTD. (NINGBO BEST METAL PRODUCTS CO. LTD),62468,TMS7285,,,0,2000,
16,16,9033-217,1001190,C,2020-12-21,PB,PASS,SAC SHANGHAI CO. LTD. (NINGBO BEST METAL PRODUCTS CO. LTD),44577,TMS5745,,,,,
17,17,9033-217,1001190,C,2022-05-20,TAJ,PASS,SAC SHANGHAI CO. LTD. (NINGBO BEST METAL PRODUCTS CO. LTD),60084,TMS7032,,,0,2500,
18,18,9033-217,1001190,C,2021-05-28,TAJ,PASS,SAC SHANGHAI CO. LTD. (NINGBO BEST METAL PRODUCTS CO. LTD),49138,TMS6144,,,0,850,
19,19,9039-178,1001198,G,,,,,,,BCB1752,AARON,LAST,80,80
20,20,9039-178,1001198,G,,,,,,,SJM3898,Aaron,LAST,60,60
21,21,9039-178,1001198,G,,,,,,,TTW1237,,LAST,50,
22,22,9039-179,1001200,G,,,,,,,BCB1753,AARON,Last,72,
23,23,9039-179,1001200,G,,,,,,,SJM3897,AARON,LAST,60,60
24,24,9039-179,1001200,G,,,,,,,TTW1238,,Last,15,
25,25,9033-303,1001209,D,2020-12-22,PB,PASS,SAC SHANGHAI CO. LTD. (NINGBO BEST METAL PRODUCTS CO. LTD),44586,TMS5745,,,,,
26,26,9033-303,1001209,D,2020-12-22,MJS,PASS,SAC SHANGHAI CO. LTD. (NINGBO BEST METAL PRODUCTS CO. LTD),44717,TMS5878,,,,,
27,27,9033-303,1001209,D,2021-04-12,TAJ,PASS,SAC SHANGHAI CO. LTD. (NINGBO BEST METAL PRODUCTS CO. LTD),47829/30,TMS6011/6068,,,0,2600,
28,28,9033-303,1001209,D,2021-06-01,PB,PASS,SAC SHANGHAI CO. LTD. (NINGBO BEST METAL PRODUCTS CO. LTD),49140/49145/49147,TMS6360/6229/6135,,,0,7600,
29,29,7720-108,1001754,B,,,,,,,BCB1154,JAMES/ADAM,Last,25,
30,30,7720-108,1001754,B,,,,,,,BCB2736,AB,Last,10,10
31,31,7720-108,1001754,B,,,,,,,BCB765,CHA,Last,10,9
32,32,7720-108,1001754,B,,,,,,,R941,,Last,24,
33,33,7720-108,1001754,B,,,,,,,SJM6132,YURIY,Last,15,15
34,34,CMR5-102,1001943,A,2021-11-15,MJS,PASS,JINGCHENG COMPUTER NUMERIC CONTROL CO. (JIANGSU JINGRUN),54675/64674,TMS6905,,,0,3000,
35,35,CMR5-102,1001943,A,2021-11-12,A.S,PASS,JINGCHENG COMPUTER NUMERIC CONTROL CO. (JIANGSU JINGRUN),54496,TMS6752,,,0,fail,
36,36,CMR5-102,1001943,A,2020-12-04,TAJ,PASS,JINGCHENG COMPUTER NUMERIC CONTROL CO. (JIANGSU JINGRUN),44171,TMS5860,,,,,
37,37,CMR5-102,1001943,A,2021-06-02,TAJ,PASS,JINGCHENG COMPUTER NUMERIC CONTROL CO. (JIANGSU JINGRUN),49851,TMS6377,,,0,500,
38,38,CMR5-102,1001943,A,2022-06-02,TAJ,PASS,JINGCHENG COMPUTER NUMERIC CONTROL CO. (JIANGSU JINGRUN),60381,TMS7179,,,0,2500,
39,39,CMR5-102,1001943,A,2022-09-01,TAJ,PASS,JINGCHENG COMPUTER NUMERIC CONTROL CO. (JIANGSU JINGRUN),62987,TMS7475,,,0,300,
40,40,CMR5-102,1001943,A,2022-09-14,TAJ,PASS,JINGCHENG COMPUTER NUMERIC CONTROL CO. (JIANGSU JINGRUN),63314/15,TMS6905,,,0,3000,
41,41,CMR5-102,1001943,A,2022-09-30,TAJ,PASS,JINGCHENG COMPUTER NUMERIC CONTROL CO. (JIANGSU JINGRUN),63623,TMS7591,,,0,2500,
42,42,CMR5-102,1001943,A,2021-09-07,TAJ,PASS,JINGCHENG COMPUTER NUMERIC CONTROL CO. (JIANGSU JINGRUN),52608,TMS6377,,,0,500,
43,43,CMR5-101,1001945,B,2022-05-17,MPD,PASS,JINGCHENG COMPUTER NUMERIC CONTROL CO. (JIANGSU JINGRUN),59977,TMS7179,,,0,5000,
44,44,CMR5-101,1001945,B,2022-06-02,TAJ,PASS,JINGCHENG COMPUTER NUMERIC CONTROL CO. (JIANGSU JINGRUN),60382,TMS7179,,,0,10000,
45,45,9033-219,1001988,E,2022-04-11,MPD,PASS,TURNING INC.,58537,TMS7223,,,0,773,
46,46,9033-219,1001988,E,2021-11-23,JMJ,PASS,TURNING INC.,54843/844,TMS7107,,,0,840,
47,47,9033-219,1001988,E,2021-12-03,PB,PASS,MILL CREEK MACHINING,54596,TMS6895,,,0,413,
48,48,9033-219,1001988,E,2021-03-23,PB,PASS,MILL CREEK MACHINING,47245,TMS6348,,,0,640,
49,49,9033-219,1001988,E,2021-07-01,TAJ,FAIL,MILL CREEK MACHINING,49928,TMS6715,,,0,454,
50,50,9033-224,1001996,E,2021-11-24,PB,PASS,MILL CREEK MACHINING,54597,TMS6895,,,0,269,
51,51,9033-224,1001996,E,2021-03-02,TAJ,PASS,MILL CREEK MACHINING,46770,TMS6214,,,0,218,
52,52,9033-224,1001996,E,2022-07-21,MJS,PASS,MILL CREEK MACHINING,60938,TMS7282,,,0,510,
53,53,MSLB16-101,1002134,B,2022-08-19,SC,PASS,G. S. PRECISION PRODUCTS CO. LTD. (JIANGSU SOHO),61448,TMS7268,,,0,2243,
54,54,MSLB16-101,1002134,B,2020-12-11,A.S.,PASS,G. S. PRECISION PRODUCTS CO. LTD. (JIANGSU SOHO),44218,TMS5825,,,,,
55,55,MSLB16-101,1002134,B,2021-12-13,PB,PASS,G. S. PRECISION PRODUCTS CO. LTD. (JIANGSU SOHO),54538,TMS6783,,,0,2149,
56,56,MSLB16-101,1002134,B,2021-04-06,TAJ,PASS,G. S. PRECISION PRODUCTS CO. LTD. (JIANGSU SOHO),47161/62,TMS6032,,,0,1606,
57,57,9029-238,1002213-10,E,2022-01-21,MJS,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,54885/54880/54915,TMS6873/6767/6696,,,0,1300,
58,58,9029-238,1002213-10,E,2021-12-22,MJS,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,54195,TMS6815,,,0,400,
59,59,9029-238,1002213-10,E,2021-02-25,TAJ,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,46059,TMS6069,,,0,500,
60,60,9029-238,1002213-10,E,2022-07-25,MJS,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,60820/60822/60824,TMS7183/7009/6726,,,0,2550,
61,61,9029-238,1002213-10,E,2021-09-15,PB,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,52734/51737/52744,TMS6559/6678/6370,,,0,950,
62,62,9029-200,1002213,E,2022-05-15,MPD,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,59205,TMS6656,,,0,20,
63,63,9029-200,1002213,E,2021-11-23,PB,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,52561,TMS6740,,,0,50,
64,64,9029-200,1002213,E,2021-02-11,TAJ,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,46058,TMS6069,,,0,50,
65,65,9029-200,1002213,E,2022-05-10,TAJ,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,58143,TMS7183,,,0,100,
66,66,9029-200,1002213,E,2021-06-29,MJS,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,49577,TMS6370,,,0,50,
67,67,9029-220,1002213,E,2022-04-24,MPD,,WANXIANG AUTOMOTIVE COMPONENTS LLC,57491/57492,TMS6696/6916,,,0,fail,
68,68,9029-220,1002213,E,2022-05-19,SY,,WANXIANG AUTOMOTIVE COMPONENTS LLC,59209,TMS6656,,,0,50,
69,69,9029-220,1002213,E,2022-01-17,MJS,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,56181/182/183,TMS6440/6774/6916,,,0,fail,
70,70,9029-220,1002213,E,2022-01-18,MJS,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,56172/56187,TMS6696/6873,,,0,230,
71,71,9029-220,1002213,E,2022-01-19,MJS,FAIL,WANXIANG AUTOMOTIVE COMPONENTS LLC,54878,TMS6902,,,0,fail,
72,72,9029-220,1002213,E,2021-10-07,TAJ,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,52729,TMS6696,,,0,800,
73,73,9029-220,1002213,E,2021-12-16,MJS,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,54052/053/054/055/056,TMS6508/6767/6873,,,0,2600,
74,74,9029-220,1002213,E,2021-12-27,MJS ,FAIL,WANXIANG AUTOMOTIVE COMPONENTS LLC,54565,TMS6815,,,0,190,
75,75,9029-220,1002213,E,2021-12-27,MJS,FAIL,WANXIANG AUTOMOTIVE COMPONENTS LLC,54566/54568,TMS6815/6767,,,0,200,
76,76,9029-220,1002213,E,2021-02-03,TAJ,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,45620,TMS5828,,,0,700,
77,77,9029-220,1002213,E,2021-02-23,MJS,FAIL,WANXIANG AUTOMOTIVE COMPONENTS LLC,46057,TMS6069,,,0,70,
78,78,9029-220,1002213,E,2021-05-05,MJS,FAIL,WANXIANG AUTOMOTIVE COMPONENTS LLC,49018,TMS6069,,,0,450,
79,79,9029-220,1002213,E,2021-06-14,TAJ,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,49379/85,TMS6152/5907,,,0,120,
80,80,9029-220,1002213,E,2021-06-07,PB,FAIL,WANXIANG AUTOMOTIVE COMPONENTS LLC,49378/49727/49732,TMS5907/6069/6292,,,0,1450,
81,81,9029-220,1002213,E,2021-07-20,TAJ,FAIL,WANXIANG AUTOMOTIVE COMPONENTS LLC,50799/50808,TMS6292,,,0,1300,
82,82,9029-201,1002213-5,E,2022-03-18,MPD,FAIL,WANXIANG AUTOMOTIVE COMPONENTS LLC,57159/57166,TMS6966/6767,,,0,1100,
83,83,9029-201,1002213-5,E,2021-02-25,MJS,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,46053,TMS5930,,,0,500,
84,84,9029-201,1002213-5,E,2022-07-14,MJS,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,60558/60568/60825,TMS7123,,,0,1300,
85,85,9029-201,1002213-5,E,2021-09-01,MJS,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,52254,TMS6292,,,0,500,
86,86,9029-201,1002213-5,E,2021-09-29,A.S,FAIL,WANXIANG AUTOMOTIVE COMPONENTS LLC,52562,TMS6508,,,0,500,
87,87,9029-220,1002213,E,2022-04-24,MPD,,WANXIANG AUTOMOTIVE COMPONENTS LLC,57491/57492,TMS6696/6916,,,0,fail,
88,88,9029-220,1002213,E,2022-05-19,SY,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,59209,TMS6656,,,0,50,
89,89,9029-220,1002213,E,2022-01-17,MJS,PASS,WANXIANG AUTOMOTIVE COMPONENTS LLC,56181/182/183,TMS6440/6774/6916,,,0,fail,
