id,py,px,ny,nx
1002236,0,0,0,0
1002242,0,0,0,0
1002486,0,0,0,0
1002487,0,0,0,0
1003335,0,0,0,0
1003336,0,0,0,0
1003340,0,0,0,0
1003609,0,0,0,0
1004628,0,0,0,0
1005070,0,0,0,0
1005301,0,0,0,0
1005611,0,0,0,0
1005669,0,0,0,0
1005724,0,0,0,0
1006058,0,0,0,0
1006059,0,0,0,0
1006086,0,0,0,0
1006239,0,0,0,0
1006240,0,0,0,0
23-2168,0,0,0,0
7001121,0,0,0,0
7002007,0,0,0,0
7002044,0,0,0,0
7002322,0,0,0,0
7002434,0,0,0,0
7002630,0,0,0,0
7003310,0,0,0,0
7003325,0,0,0,0
7003378,0,0,0,0
7003448,0,0,0,0
7004101,0,0,0,0
7004139,0,0,0,0
7004252,0,0,0,0
7004578,0,0,0,0
7004599,0,0,0,0
7004768,0,0,0,0
7004772,0,0,0,0
7004819,0,0,0,0
7004820,0,0,0,0
7004830,0,0,0,0
7004842,0,0,0,0
7004844,0,0,0,0
7004860,0,0,0,0
7004935,0,0,0,0
7005018,0,0,0,0
7005025,0,0,0,0
7005067,0,0,0,0
7005068,0,0,0,0
7005074,0,0,0,0
7005075,0,0,0,0
7005118,0,0,0,0
7005128,0,0,0,0
7005132,0,0,0,0
7005136,0,0,0,0
7005137,0,0,0,0
7005139,0,0,0,0
7005168,0,0,0,0
7005174,0,0,0,0
7005192,0,0,0,0
7005446,0,0,0,0
7005475,0,0,0,0
7005502,0,0,0,0
7005559,0,0,0,0
7005604,0,0,0,0
7005640,0,0,0,0
7005681,0,0,0,0
7005685,0,0,0,0
7005691,0,0,0,0
7005692,0,0,0,0
7005737,0,0,0,0
7005740,0,0,0,0
7005743,0,0,0,0
7005753,0,0,0,0
7005841,0,0,0,0
7005881,0,0,0,0
7005902,0,0,0,0
7005903,0,0,0,0
7005911,0,0,0,0
7005913,0,0,0,0
7006000,0,0,0,0
7006083,0,0,0,0
7006102,0,0,0,0
7006112,0,0,0,0
7006153,0,0,0,0
7006157,0,0,0,0
7006158,0,0,0,0
7006188,0,0,0,0
7006189,0,0,0,0
7006190,0,0,0,0
7006191,0,0,0,0
7006192,0,0,0,0
7006263,0,0,0,0
7006266,0,0,0,0
7006305,0,0,0,0
7006306,0,0,0,0
7006335,0,0,0,0
7006336,0,0,0,0
7006337,0,0,0,0
7006344,0,0,0,0
7006345,0,0,0,0
7006346,0,0,0,0
7006347,0,0,0,0
7006355,0,0,0,0
7006356,0,0,0,0
7006378,0,0,0,0
7006402,0,0,0,0
7006403,0,0,0,0
7006407,0,0,0,0
7006408,0,0,0,0
7006415,0,0,0,0
7006439,0,0,0,0
7006440,0,0,0,0
7006452,0,0,0,0
7006453,0,0,0,0
8001015,0,0,0,0
8001060,0,0,0,0
8001074,0,0,0,0
8001075,0,0,0,0
8001076,0,0,0,0
8001078,0,0,0,0
8001128,0,0,0,0
8001142,0,0,0,0
9078-101,0,0,0,0
M9BD10MBR-L,0,0,0,0
