id,py,px,ny,nx,anchor_dir,anchor_val
T11502,12.7,393.7,1104.9,12.7,px,381
T11711,14.17307436,22.5,75.8,22.5,ny,50.8
T11725,8,15,62,15,ny,50.8
T11730,12.7,22.225,63.5,22.225,ny,50.8
T11735,66.79943166,19.05,79.375,19.05,ny,50.8
T11736,35.7992498,15.875,73.96050708,15.875,ny,50.8
T11748,11,57.675,8,6.875,px,50.8
T11752,38.1,38.1,63.5,38.1,ny,50.8
T11753,12.1,25,62.9,25,ny,50.8
T11754,12.1,25,62.9,25,ny,50.8
T11755,9.6,25,60.4,25,ny,50.8
T11759,32,58.3,20,7.5,px,50.8
T11761,11,61.8,11,11,px,50.8
T11762,16.51,67.31,16.51,16.51,px,50.8
T11766,10,60.8,10,10,px,50.8
T11768,9.525,60.325,9.525,9.525,px,50.8
T11772,8,27.5,58.8,27.5,ny,50.8
T11773,25,63.8,25,13,px,50.8
T11774,8,15,58.8,15,ny,50.8
T11775,8,15,58.8,15,ny,50.8
T11776,9.5,60.3,9.5,9.5,px,50.8
T11777,17.5,57.175,17.5,6.375,px,50.8
T11778,22.5,109.9,31.5,8.3,px,101.6
T11779,16,57.675,8,6.875,px,50.8
T11780,20,57.175,10,6.375,px,50.8
T11781,9.6,25,60.4,25,ny,50.8
T11782,12,58.175,12,7.375,px,50.8
T11784,32.31,57.675,9,6.875,px,50.8
T11789,30,58.175,10,7.375,px,50.8
T11791,40.75,57.675,9,6.875,px,50.8
T11792,39,58.175,8,7.375,px,50.8
T11793,16,57.675,9,6.875,px,50.8
T11794,17.5,109.6,24.57106781,8,px,101.6
T11796,38,57.675,8,6.875,px,50.8
T11797,69,57.675,8,6.875,px,50.8
T11798,72.5,180,72.5,9.6,px,50.8
T11800,57.8,88.9,8,38.1,px,50.8
T11802,44.527,57.675,8,6.875,px,50.8
T11805,30.75,70.4,8,19.6,px,50.8
T11809,34,67.9,8,17.1,px,50.8
T11810,34,57.675,8,6.875,px,50.8
T11811,17,57.675,8,6.875,px,50.8
T11813,9,57.675,8,6.875,px,50.8
T11814,29,57.675,8,6.875,px,50.8
T11815,44,57.675,8,6.875,px,50.8
T11816,25,57.675,8,6.875,px,50.8
T11817,31,57.675,8,6.875,px,50.8
T11819,19,57.675,8,6.875,px,50.8
T11820,119,57.675,8,6.875,px,50.8
T11821,34,57.675,8,6.875,px,50.8
T11822,34,57.675,8,6.875,px,50.8
T11823,24.6,20,75.4,20,ny,50.8
T11824,16,90.4,16,39.6,px,50.8
T11826,19.05,82.55,19.05,31.75,px,50.8
T11827,24.4,57.675,8,6.875,px,50.8
T11828,29,57.675,8,6.875,px,50.8
T11829,14,57.675,8,6.875,px,50.8
T11833,25,57.675,8,6.875,px,50.8
T11834,33,57.675,8,6.875,px,50.8
T11835,36.2,17.5,70.55,17.5,ny,50.8
T11836,34.27,57.675,8,6.875,px,50.8
T11837,19.875,57.2,19.875,6.15,px,50.8
T11839,20,57.675,8,6.875,px,50.8
T11842,21.7,16,123.3,16,ny,101.6
T11843,36,58.3,8,7.5,px,50.8
T11844,13,58.3,8,7.5,px,50.8
T11845,13,58.3,8,7.5,px,50.8
T11848,35,58.3,8,7.5,px,50.8
T11849,71.66180581,56.675,8.838194186,5.875,px,50.8
T11850,33,58.3,8,7.5,px,50.8
T11851,15,58.3,8,7.5,px,50.8
T11852,35,58.3,8,7.5,px,50.8
T11853,19.2,25,65.8,25,px,50.8
T11854,20,58.3,8,7.5,px,50.8
