name,drawing,revision,fixture,py,px,ny,nx,developer_notes,operator_notes,requires_attn,requires_proof,start_date,finish_date
1002223 - D,1002223,D,empty,0.0,0.0,0.0,0.0,,,0,1,1900-01-01,
1002236 - E,1002236,E,T11948,540.0,0.0,270.0,0.0,,,0,1,1900-01-01,
1002242 - C,1002242,C,T11949,540.0,0.0,270.0,0.0,,,0,1,1900-01-01,
1002486 - B,1002486,B,T11748,576.0,0.0,288.0,0.0,,,0,1,1900-01-01,
1002487 - C,1002487,C,T11986,0.0,0.0,0.0,0.0,,,0,1,1900-01-01,
1003335 - D,1003335,D,T11913,74.5399,0.0,74.5399,288.0,,,0,1,1900-01-01,
1003336 - F,1003336,F,T11797,576.0,0.0,288.0,0.0,,,0,1,1900-01-01,
1003340 - C,1003340,C,T11774,270.0,273.5,273.5,270.0,,,0,1,1900-01-01,
1003609 - B,1003609,B,T11837,270.0,0.0,270.0,0.0,,,0,1,1900-01-01,
1004628 - A,1004628,A,T11966,288.0,432.0,288.0,288.0,,,0,1,1900-01-01,
1005070 - A,1005070,A,T11794,409.2092,270.0,296.29630000000003,135.0,,,0,1,1900-01-01,
1005301 - A,1005301,A,T11778,190.9188,386.7874,270.0,193.3937,,,0,1,1900-01-01,
1005611 - A,1005611,A,T11820,0.0,273.5,136.75,424.75,,,0,1,1900-01-01,
1005669 - A,1005669,A,T11773,233.8269,270.0,270.0,270.0,,,0,1,1900-01-01,
1005724 - A,1005724,A,T11772,273.5,0.0,273.5,288.0,,,0,1,1900-01-01,
1005979 - B,1005979,B,T11736,0.0,0.0,270.0,268.9726,,,0,1,1900-01-01,
1005980 - A,1005980,A,T11736,0.0,0.0,270.0,268.9726,,,0,1,1900-01-01,
1005985 - B,1005985,B,T11735,0.0,0.0,270.0,268.9726,,,0,1,1900-01-01,
1005986 - A,1005986,A,T11735,0.0,0.0,270.0,268.9726,,,0,1,1900-01-01,
1005992 - A,1005992,A,T11595,270.0,46.885,270.0,270.0,,,0,1,1900-01-01,
1005993 - A,1005993,A,T11595,135.0,46.885,270.0,270.0,,,0,1,1900-01-01,
1005994 - A,1005994,A,T11595,270.0,190.9188,270.0,49.4134,,,0,1,1900-01-01,
1005995 - B,1005995,B,T11595,135.0,190.9188,270.0,46.885,,,0,1,1900-01-01,
1006058 - A,1006058,A,T11798,0.0,288.0,0.0,144.0,,,0,1,1900-01-01,
1006059 - A,1006059,A,T11798,0.0,288.0,0.0,144.0,,,0,1,1900-01-01,
1006086 - A,1006086,A,T11958,0.0,0.0,0.0,0.0,,,0,1,1900-01-01,
1006239 - A,1006239,A,T11899,135.0,540.0,270.0,540.0,,,0,1,1900-01-01,
1006240 - A,1006240,A,T11899,135.0,540.0,270.0,540.0,,,0,1,1900-01-01,
23-2168 - D,23-2168,D,T11802,0.0,273.5,273.5,273.5,,,0,1,1900-01-01,
7001121 - D,7001121,D,T11775,0.0,141.574,273.5,270.0,,,0,1,1900-01-01,
